Internal ID,Asset ID,English Name,Chinese Name,Width*,Length,Height*,Hitzones,,,,,,,,,
50001,???,Calico Cat,战斗猫,,,,,,,,,,,,,
50010,m001,Kelbi,精灵鹿,,,,,,,,,,,,,
50020,m002,Akenta,雪山麋鹿,,,,,,,,,,,,,
50030,m003,Popo,猛犸象,,,,,,,,,,,,,
50040,m004,Mosswine,香菇猪,,,,,,,,,,,,,
50042,m004,PVP Mosswine,PVP香菇猪,,,,,,,,,,,,,
50050,m005,Bullfango,野猪,,,,,,,,,,,,,
50053,m005,Bullfango (PVP),PVP野猪,,,,,,,,,,,,,
50055,m005,??? Bullfango,降低猪车频率的小野猪,,,,,,,,,,,,,
50056,m005,??? Bullfango,战斗组测试用野猪,,,,,,,,,,,,,
50060,m006,Velociprey,蓝速龙,,,,,,,,,,,,,
50070,m007,Genprey,黄速龙,,,,,,,,,,,,,
50080,m008,Ioprey,红速龙,,,,,,,,,,,,,
50081,m008,Ioprey (Only Taunts),只会叫的红速龙,,,,,,,,,,,,,
50090,m009,Giaprey,白速龙,,,,,,,,,,,,,
50100,m010,Felyne,野生艾露,,,,,,,,,,,,,
50110,???,Melynx,野生梅露,,,,,,,,,,,,,
50111,m011,Zenny Felyne,猫猫大盗,,,,,,,,,,,,,
50120,m012,Aptonoth,草食龙,,,,,,,,,,,,,
50122,m012,NPC Char's Aptonoth,肯妈用草食龙,,,,,,,,,,,,,
50123,m012,Normal Durability Aptonoth(?),普通肉质食草龙,,,,,,,,,,,,,
50124,m012,Hard-Skin Aptonoth(?),坚硬肉质食草龙,,,,,,,,,,,,,
50125,m012,Raid Merchant's Aptonoth,[配信Raid]商团草食龙,,,,,,,,,,,,,
50130,m013,Apceros,龟壳龙,,,,,,,,,,,,,
50150,m015,Vespoid,蚊子,,,,,,,,,,,,,
50151,m015,Vespoid (?),蚊子,,,,,,,,,,,,,
50160,m016,Great Thunderbug,雷光虫,,,,,,,,,,,,,
50161,m016,Negative-Charge Thunderbug,雷光虫负极,,,,,,,,,,,,,
50162,m016,Great Thunderbug (Yama Tsukami),雷光虫,,,,,,,,,,,,,
50164,m016,Burning Firefly (Infernal Tartaronis Quest),火萤,,,,,,,,,,,,,
50170,m017,Hermitaur,小盾蟹,,,,,,,,,,,,,
50171,m017,Hermitaur (?),小盾蟹,,,,,,,,,,,,,
50180,m018,Ceanataur,小镰蟹,,,,,,,,,,,,,
50181,m018,Ceanataur (?),小镰蟹,,,,,,,,,,,,,
50190,m019,Cephalos,小沙龙,,,,,,,,,,,,,
50203,???,Festive Shakalaka (B. Kut-Ku Summon),奇面族祭祀,,,,,,,,,,,,,
50205,m020 (?),Bomber Shakalaka,爆桶奇面族,,,,,,,,,,,,,
50210,m021,Blango,小雪狮子,,,,,,,,,,,,,
50220,m022,Conga,小桃毛兽,,,,,,,,,,,,,
50221,m022,Conga (?),小桃毛兽,,,,,,,,,,,,,
50230,m023,Remobra,蛇龙,,,,,,,,,,,,,
50231,m023,Remobra (Beacon Walls Ver.),老山蟹用蛇龙,,,,,,,,,,,,,
50232,m023,Remobra (G.Fortress Lake Ver.),水龙关蛇龙,,,,,,,,,,,,,
50233,m023,Remobra (Guren Shen Ver.),红莲老山蟹用蛇龙,,,,,,,,,,,,,
50250,m025,Shield Shakalaka,盾奇面,,,,,,,,,,,,,
50251,m020 (?),Knife Shakalaka,刀奇面,,,,,,,,,,,,,
50252,m024 (?),Archer Shakalaka,箭奇面,,,,,,,,,,,,,
50253,m026 (?),Preist Shakalaka,祭司奇面,,,,,,,,,,,,,
50270,m027,King Shakalaka,奇面王,,,,,,,,,,,,,
50280,m028,Star Butterfly,蝴蝶,,,,,,,,,,,,,
50281,m028_u01,Star Butterfly Subspecies,蝴蝶亚种,,,,,,,,,,,,,
50282,m028_u02,Star Butterfly Variant,蝴蝶特殊种,,,,,,,,,,,,,
50310,m031,Plesioth Hatchling,小水龙,,,,,,,,,,,,,
50340,m033,Juvenile Brachydios,小碎龙,,,,,,,,,,,,,
50350,m035,Soccer Ball,足球,,,,,,,,,,,,,
60010,em001,Caeserber,河狸兽,,,,Part,Stun,Cutting,Impact,Shot,Fire,Water,Thunder,Ice,Dragon
,,,,,,,Head,100,90,90,70,25,0,10,10,0
,,,,,,,Body,0,70,70,50,15,0,10,10,0
,,,,,,,LeftHand,0,44,44,40,15,0,10,10,0
,,,,,,,RightHand,0,44,44,40,15,0,10,10,0
,,,,,,,Tail,0,28,35,35,15,0,10,10,0
60011,em001_u01,Yellow Caeserber,沙狸兽,,,,Part,Stun,Cutting,Impact,Shot,Fire,Water,Thunder,Ice,Dragon
,,,,,,,Head,80,65,75,75,5,25,5,10,0
,,,,,,,Body,0,50,50,35,5,35,5,10,0
,,,,,,,LeftHand,0,50,50,35,5,35,5,10,0
,,,,,,,RightHand,0,50,50,35,5,35,5,10,0
,,,,,,,Tail,0,26,35,35,5,40,5,10,0
60012,em001_x01,Ghost Caeserber,战鬼河狸兽,,,,Part,Stun,Cutting,Impact,Shot,Fire,Water,Thunder,Ice,Dragon
,,,,,,,Head,100,50,60,40,25,0,10,10,0
,,,,,,,Body,0,40,30,40,15,0,10,10,0
,,,,,,,LeftHand,0,35,35,25,15,0,10,10,0
,,,,,,,RightHand,0,35,35,25,15,0,10,10,0
,,,,,,,Tail,0,20,20,35,15,0,10,10,0
60014,em001,Promo Vid Caeserber,视频用河狸兽,,,,Part,Stun,Cutting,Impact,Shot,Fire,Water,Thunder,Ice,Dragon
,,,,,,,Head,100,70,70,70,25,0,10,10,0
,,,,,,,Body,0,50,50,50,15,0,10,10,0
,,,,,,,LeftHand,0,40,40,40,15,0,10,10,0
,,,,,,,RightHand,0,40,40,40,15,0,10,10,0
,,,,,,,Tail,0,28,35,35,15,0,10,10,0
60015,em001_ex01,Caeserber (Abnormal),河狸兽EX,,,,Part,Stun,Cutting,Impact,Shot,Fire,Water,Thunder,Ice,Dragon
,,,,,,,Head,100,70,70,70,60,0,10,10,0
,,,,,,,Body,0,50,50,50,30,0,10,10,0
,,,,,,,LeftHand,0,40,40,40,30,0,10,10,0
,,,,,,,RightHand,0,40,40,40,30,0,10,10,0
,,,,,,,Tail,0,28,35,35,20,0,10,10,0
60017,em001,Caserber (Tutorial Ver.),新手河狸兽,,,,Part,Stun,Cutting,Impact,Shot,Fire,Water,Thunder,Ice,Dragon
,,,,,,,Head,100,70,70,70,25,0,10,10,0
,,,,,,,Body,0,65,65,60,15,0,10,10,0
,,,,,,,LeftHand,0,65,65,60,15,0,10,10,0
,,,,,,,RightHand,0,65,65,60,15,0,10,10,0
,,,,,,,Tail,0,28,35,35,15,0,10,10,0
60020,em002,Velocidrome,蓝速龙王,,,,,,,,,,,,,
60022,m008,Iodrome,红速龙王,,,,,,,,,,,,,
60023,m008,Iodrome (x3 Speed),三倍速红速龙王,,,,,,,,,,,,,
60024,m009,Giadrome,白速龙王,,,,,,,,,,,,,
60030,em003,Bulldrome,大野猪王,,,,,,,,,,,,,
60032,em003,Quest-Specific Large Bulldrome,任务专用大野猪王,,,,,,,,,,,,,
60033,em003_u01,Gold Bulldrome (New Years 2019),刚鬣金彘,,,,,,,,,,,,,
60034,em003_u02,Elemental Bulldrome (April Fools 2016),奇烈大野猪王,,,,,,,,,,,,,
60040,em004,Yian Kut-Ku,大怪鸟,,,,,,,,,,,,,
60041,em004_u01,Blue Yian Kut-Ku,青怪鸟,,,,,,,,,,,,,
60042,em004_u01,Blue Yian Kut-Ku (Clamorous Ridge),05关青怪鸟,,,,,,,,,,,,,
60043,em004_ex01,Yian Kut-Ku (Abnormal),大怪鸟EX,,,,,,,,,,,,,
60049,em004_ex01,Yian Kut-Rex (April Fools 2016),愚人节大怪鸟,,,,,,,,,,,,,
60050,em005,NB2 - Baelidae,鬼狩蛛,,,,,,,,,,,,,
60051,em005_u01,Dread Baelidae,骇狩蛛,,,,,,,,,,,,,
60053,em005_ex01,Baelidae (Abnormal),鬼狩蛛EX,,,,,,,,,,,,,
60054,em005_u01_ex01,Dread Baelidae (Abnormal),骇狩蛛EX,,,,,,,,,,,,,
60059,em005,NT Baelidae (?),NT鬼狩蛛,,,,,,,,,,,,,
60060,em006,Gendrome,黄速龙王,,,,,,,,,,,,,
60070,em007,Gypceros,毒怪鸟,,,,,,,,,,,,,
60071,em007_u01,Purple Gypceros,紫毒鸟,,,,,,,,,,,,,
60073,em007_ex01,Gypceros (Abnormal),毒怪鸟EX,,,,,,,,,,,,,
60079,em007,Gypceros (Pretending),演员毒怪鸟,,,,,,,,,,,,,
60080,em008,Congalala,桃毛兽王,,,,,,,,,,,,,
60081,em008_u01,Gold Congalala,金毛兽王,,,,,,,,,,,,,
60082,em008_ex01,Congalala (Abnormal),桃毛兽王EX,,,,,,,,,,,,,
60083,em008_u01_ex01,Gold Congalala (Abnormal),金毛兽王EX,,,,,,,,,,,,,
60087,???,April Fools Congalala A,愚人节桃毛兽王A,,,,,,,,,,,,,
60088,???,April Fools Congalala B,愚人节桃毛兽王B,,,,,,,,,,,,,
60089,???,April Fools Congalala C,愚人节桃毛兽王C,,,,,,,,,,,,,
60090,em009,Chramine,沙雷鸟,,,,,,,,,,,,,
60091,em009_u01,Ice Chramine,冰雷鸟,,,,,,,,,,,,,
60092,em009_ex01,Chramine (Abnormal),沙雷鸟EX,,,,,,,,,,,,,
60093,em009_u01_ex01,Ice Chramine (Abnormal),冰雷鸟EX,,,,,,,,,,,,,
60100,em010,Daimyo Hermitaur,大名盾蟹,,,,,,,,,,,,,
60101,em010_ex01,Daimyo Hermitaur (Abnormal),大名盾蟹EX,,,,,,,,,,,,,
60102,em010_u01,Gonngenn Hermitaur,葵盾蟹,,,,,,,,,,,,,
60110,em011,Cephadrome,沙龙王,,,,,,,,,,,,,
60111,em011_ex01,Cephadrome (Abnormal),沙龙王EX,,,,,,,,,,,,,
60120,em012,Khezu,电龙,,,,,,,,,,,,,
60121,em012_u01,Red Khezu,红电龙,,,,,,,,,,,,,
60122,em012,Airship Quest-Unique Khezu,飞艇关特殊电龙,,,,,,,,,,,,,
60123,em012_ex01,Khezu (Abnormal),电龙EX,,,,,,,,,,,,,
60127,em012_u01,Red Khezu (Raid),[配信Raid]红电龙,,,,,,,,,,,,,
60130,em013,NB3 - Estrellian,星龙,686.3346,1874.215,859.733,Part,Stun,Cutting,Impact,Shot,Fire,Water,Thunder,Ice,Dragon
,,,,,,,Normal,,,,,,,,,
,,,,,,,Head,50,50,45,45,5,25,5,10,10
,,,,,,,Neck,0,40,35,45,5,10,10,10,10
,,,,,,,Body,0,50,40,40,5,25,5,10,10
,,,,,,,Tail,0,45,30,20,5,20,15,10,10
,,,,,,,LeftFoot,0,35,30,35,5,20,10,10,10
,,,,,,,LeftHand,0,35,30,35,5,20,10,10,10
,,,,,,,RightFoot,0,35,30,35,5,20,10,10,10
,,,,,,,RightHand,0,35,30,35,5,20,10,10,10
,,,,,,,Amourd,,,,,,,,,
,,,,,,,Head,50,20,25,45,5,25,5,10,10
,,,,,,,Neck,0,35,35,45,5,10,10,10,10
,,,,,,,Body,0,40,45,40,5,25,5,10,10
,,,,,,,Tail,0,20,25,20,5,20,15,10,10
,,,,,,,LeftFoot,0,26,35,35,5,20,10,10,10
,,,,,,,LeftHand,0,20,35,35,5,20,10,10,10
,,,,,,,RightFoot,0,26,35,35,5,20,10,10,10
,,,,,,,RightHand,0,20,35,35,5,20,10,10,10
,,,,,,,Angry,,,,,,,,,
,,,,,,,Head,50,50,35,45,5,25,5,10,10
,,,,,,,Neck,0,45,40,45,5,10,10,10,10
,,,,,,,Body,0,45,45,40,5,25,5,10,10
,,,,,,,Tail,0,35,30,20,5,20,15,10,10
,,,,,,,LeftFoot,0,40,35,35,5,20,10,10,10
,,,,,,,LeftHand,0,40,35,35,5,20,10,10,10
,,,,,,,RightFoot,0,40,35,35,5,20,10,10,10
,,,,,,,RightHand,0,40,35,35,5,20,10,10,10
60131,em013_u01,Doom Estrellian,祸星龙,686.3346,1874.215,859.733,,,,,,,,,,
60133,em013_ex01,Estrellian (Abnormal),星龙EX,686.3346,1874.215,859.733,,,,,,,,,,
60134,em013_u02,Arbiter Estrellian,灭星龙,754.9680404,2061.636446,945.7062754,Part,Stun,Cutting,Impact,Shot,Fire,Water,Thunder,Ice,Dragon
,,,,,,,Normal,,,,,,,,,
,,,,,,,Body,0,30,32,30,10,25,10,5,5
,,,,,,,Tail,0,22,20,15,10,20,10,15,5
,,,,,,,Head,50,25,27,20,10,30,10,5,5
,,,,,,,Neck,0,38,30,35,10,10,10,10,5
,,,,,,,LeftFoot,0,30,35,30,10,25,10,15,5
,,,,,,,LeftHand,0,25,30,20,10,20,10,10,5
,,,,,,,RightFoot,0,30,35,30,10,25,10,15,5
,,,,,,,RightHand,0,25,30,20,10,20,10,10,5
