ID,TagID,Type,TAG,备注,AttackName,AttackInfo,DamageNumberM,PiyoM,StaminaM,BalanceM,Damage_LevelM,Damage_Level_NumberM,Damage_PowerM,Damage_Dir_useM,Damage_DirM,Fire_AtkM,Water_AtkM,Dragon_AtkM,Electric_AtkM,Ice_AtkM,CutM,Cut_ValueM,HanmmerM,Hammer_ValueM,ShootM,Shoot_ValueM,HitTypeM,HitType_ValueM,ScarM,BuffMID1,BuffMID2,StateBuffM,SpecAttackM1,SpecValueM1,SpecAttackM2,SpecValueM2,SpecAttackM3,SpecValueM3,DamageNumberP,PiyoP,StaminaP,Damage_LevelP,Damage_LevelFriendP,Damage_Level_NumberP,Damage_PowerP,Check_Enhance_Defense,Attack_LevelFriendP,Attack_LevelP,Damage_Dir_useP,Damage_DirP,Fire_AtkP,Water_AtkP,Dragon_AtkP,Electric_AtkP,Ice_AtkP,CutP,Cut_ValueP,HanmmerP,Hammer_ValueP,ShootP,Shoot_ValueP,HitTypeP,IgnoreDefense,HitType_ValueP,HitType_Friend,ScarP,BuffPID1,BuffPID2,BuffAsyncP,StateBuffP,SpecAttackP1,SpecValueP1,SpecAttackP2,SpecValueP2,SpecAttackP3,SpecValueP3,IgnoreDefenceDirCheck
20001,,2,,雌火龙,AreaFireN,,0.01,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12231,,,,,,,,,0,0,0,12,,0,50,,,12,2,"0,0,0",0.4,0,0,0,0,0,0,0,0,0,0,2048,,,,0,19179,0,,,,,,,,,
20002,,2,,雌火龙,AreaFireFM,,0.01,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12231,,,,,,,,,0,0,0,12,,0,50,,,12,2,"0,0,0",0.4,0,0,0,0,0,0,0,0,0,0,2048,,,,0,19179,0,,,,,,,,,
20003,,2,,雌火龙,AreaFireFL,,0.01,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12231,,,,,,,,,0,0,0,12,,0,50,,,12,2,"0,0,0",0.4,0,0,0,0,0,0,0,0,0,0,2048,,,,0,19179,0,,,,,,,,,
20004,,2,,雌火龙,AreaFireFR,,0.01,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12231,,,,,,,,,0,0,0,12,,0,50,,,12,2,"0,0,0",0.4,0,0,0,0,0,0,0,0,0,0,2048,,,,0,19179,0,,,,,,,,,
20005,,2,,雌火龙,UpTailFireTL09M,,0.005,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12231,,,,,,,,,0,0,0,12,,0,60,,,12,2,"0,0,0",0.35,0,0,0,0,0,0,0,0,0,0,2048,,,,0,19179,0,,,,,,,,,
20006,,2,,雌火龙,UpTailFireTL09L,,0.005,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12231,,,,,,,,,0,0,0,12,,0,60,,,12,2,"0,0,0",0.35,0,0,0,0,0,0,0,0,0,0,2048,,,,0,19179,0,,,,,,,,,
20007,,2,,雌火龙,UpTailFireTL09R,,0.005,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12231,,,,,,,,,0,0,0,12,,0,60,,,12,2,"0,0,0",0.35,0,0,0,0,0,0,0,0,0,0,2048,,,,0,19179,0,,,,,,,,,
20008,,2,,雌火龙,RathFireBall,,0.035,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12231,,,交互行为,8,,,,,0,0,0,11,,0,30,,,11,2,"0,0,0",0.35,0,0,0,0,0,0,0,0,0,0,2048,,,,0,19179,0,,,,,,,,,
20009,,2,,大怪鸟,Em004FireBall,,0.03,,,,,,,,,,,,,,,,,,,,,,,12231,,,交互行为,8,,,,,0,5,0,11,,0,10,,,11,2,"0,0,0",0.3,0,0,0,0,0,0,0,0,0,0,2048,,,,0,19179,0,,,,,,,,,
20010,,2,,雌火龙,AttackByUpendTailSmallJumpBD01,,0.025,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12232,,,,,,,,,0.25,0,0,7,,0,50,,,7,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,1024,,,,0,10000,0,,,,,,,,,
20011,,2,,雌火龙,UpTailFireTL02,,0.005,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12232,,,,,,,,,0.05,0,0,12,,0,50,,,12,2,"0,0,0",0.15,0,0,0,0,0,0,0,0,0,0,1024,,,,0,10000,0,,,,,,,,,
20012,,2,,雌火龙,AUpTailFire,,0.005,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12232,,,,,,,,,0.05,0,0,0,,0,50,,,0,2,"0,0,0",0.15,0,0,0,0,0,0,0,0,0,0,1024,,,,0,10000,0,,,,,,,,,
20013,,2,,雌火龙,AttackByUpendTailTL02,,0.03,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12232,,,,,,,,,0.3,0,0,12,,0,50,,,12,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,1024,,,,0,10000,0,,,,,,,,,
20014,,2,,雌火龙,AttackByUpendTailTL09,,0.035,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12232,,,,,,,,,0.35,0,0,12,,0,50,,,12,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,1024,,,,0,10000,0,,,,,,,,,
20015,,2,,雌火龙,AttackByUpendTailRapidFlyUpTL02,,0.04,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12232,,,,,,,,,0.4,0,0,12,,0,50,,,12,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,1024,,,,0,10000,0,,,,,,,,,
20016,,2,,雌火龙,AttackByUpendTailRapidFlyUpTL09,,0.04,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12232,,,,,,,,,0.4,0,0,12,,0,50,,,12,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,1024,,,,0,10000,0,,,,,,,,,
20017,600700005,2,60070,毒怪鸟,PoisonBall,PoisonBall,0.03,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12232,,,,,,,,,0.3,15,0,7,,0,15,,,7,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,1024,,,,0,10000,0,,,,,,,,,
20018,600700006,2,60070,毒怪鸟,PoisonBall1,PoisonBall,0.03,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12232,,,,,,,,,0.3,15,0,7,,0,15,,,7,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,1024,,,,0,10000,0,,,,,,,,,
20019,600700007,2,60070,毒怪鸟,PoisonBall2,PoisonBall,0.03,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12232,,,,,,,,,0.3,15,0,7,,0,15,,,7,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,1024,,,,0,10000,0,,,,,,,,,
20020,600700008,2,60070,毒怪鸟,PoisonBall3,PoisonBall,0.03,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,12232,,,,,,,,,0.3,15,0,7,,0,15,,,7,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,1024,,,,0,10000,0,,,,,,,,,
20021,600100001,2,60010,河狸兽,Angry,Angry,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70024,,,,,,,,0,0,0,0,,0,5,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,16,,,,0,0,0,,60004,,,,,,,
20022,,2,,雌火龙,Howl,,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70024,,,,,,,,0,0,0,0,,0,5,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,16,,,,0,0,0,,60004,,,,,,,
20023,600400017,2,60040,大怪鸟,Howl,,0,,,,,,,,,,,,,,,,,,,,,,,,70024,,,,,,,,0,0,0,0,,0,5,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,16,,,,0,0,0,,60004,,,,,,,
20024,600110001,2,60011,沙狸兽,Angry,Angry,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70024,,,,,,,,0,0,0,0,,0,5,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,16,,,,0,0,0,,60004,,,,,,,
20025,600100008,2,60010,河狸兽,Earth,BodyDown,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70023,,,,,,,,0,0,0,0,,0,10,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,8,,,,0,0,0,,60003,,,,,,,
20026,,2,,沙龙王,gumzshake,,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70023,,,,,,,,0,0,0,0,,0,10,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,8,,,,0,0,0,,60003,,,,,,,
20027,600110008,2,60011,沙狸兽,Earth,BodyDown,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70023,,,,,,,,0,0,0,0,,0,10,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,60003,,,,,,,
20028,600800015,2,60080,桃毛兽,1,HandAttack,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70023,,交互行为,3,,,,,0,0,0,0,,0,10,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,8,,,,0,0,0,,60003,,,,,,,
20029,600700011,2,60070,毒怪鸟,Stun,Stun,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,11009,70029,,闪光弹,1,,,,,0,0,0,0,,0,10,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,8,,,,0,0,0,,60009,,,,,,,
20030,,2,,雌火龙,ClawAttackStorm,,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60022,,,,,,,
20031,,600100012,,雌火龙,FlyLiftStorm,,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60022,,,,,,,
20032,,2,,雌火龙,InitFlyCircleFlyLandStorm,,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60022,,,,,,,
20033,,2,,雌火龙,InitFlyCircleLandStorm,,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60022,,,,,,,
20034,,2,,雌火龙,InitFlyCircleClawStorm,,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60022,,,,,,,
20035,,2,,雌火龙,JumpBackStorm,,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60022,,,,,,,
20036,,2,,雌火龙,JumpBackStorm2,,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60022,,,,,,,
20037,,2,,雌火龙,UpendTailStorm,,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60022,,,,,,,
20038,600400015,2,60040,大怪鸟,FlyLiftStorm,FlyLift,0,,,,,,,,,,,,,,,,,,,,,,,,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60001,,,,,,,
20039,600400016,2,60040,大怪鸟,InitFlyCircleFlyLandStorm,FlyLift,0,,,,,,,,,,,,,,,,,,,,,,,,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60001,,,,,,,
20040,600400018,2,60040,大怪鸟,JumpBackStorm,JumpBack,0,,,,,,,,,,,,,,,,,,,,,,,,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60001,,,,,,,
20041,600400019,2,60040,大怪鸟,JumpBackStorm2,JumpBack,0,,,,,,,,,,,,,,,,,,,,,,,,70021,,,,,,,,0,0,0,0,,0,0,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60001,,,,,,,
20042,,2,,沙龙王,gumshake,,0,0,0,0,0,0,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70021,,,,,,,,0,0,0,0,,0,10,,,0,2,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,0,,60001,,,,,,,
