MonsterID,Icon,Name,InheritFrom,MonsterType,SpawnAppear,MonsterGroup,EntityName,EntityClass,EntityCustomType,Race,CameraDelayTime,DeathCamera,DeathCameraPoint,InteractCamera,InteractCameraPoint,CatchCamera,CatchCameraPoint,ChangeAreaType,Difficulty,Art Index ID,LootSize,Size,CaptureHPPercent, ExistTime, BB:InitState, BB:MaxHealth, icon, whether it can be stripped, whether it can be captured, critical hit rate, critical hit correction, water attribute correction value, fire attribute correction value, thunder attribute correction value, dragon attribute correction value, ice attribute correction value value, slash correction value, strike correction value, bullet correction value, water attribute accumulation value, fire attribute accumulation value, thunder attribute accumulation value, dragon attribute accumulation value, ice attribute accumulation value, no attribute accumulation value, BodySize, IdleSequenceName, InterestPointType,MaxPower,PowerRecoverySpeed,EmotionAngryTime,AngryDamagePeakRange,AngryDamagePeakValue,EmotionAngryAnimSpeed,xx,SkillSpeed,RegionMaxTime,RegionMinTime,DistBodySize,PreLoadBTOnServer,LootBone,LootOffset,LootRotation,EnableLemonSystem,MinTag,MaxTag,EnterLe monMinHP,EnterLemonMaxHP,LemonTime,LeaveLemonMinHP,LeaveLemonMaxHP,NeedShowEvEDmg, NeedHidePVEDmg,UseCombatNPCAtkModify
50001,,战斗猫,,2,0,,CatPrototype,EmCommon,CatPrototype,,,,MHFC_CameraPoint,,MHFC_CameraPoint,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50002,,萤火虫,,2,0,,FireFly,EmCommon,FireFly,,0,,MHFC_CameraPoint,,MHFC_CameraPoint,FlyDragonCatchCamera,FlyDragonCatchCameraPoint,,,,1,,15,,,200,,1,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50003,,农场猫,,2,0,,Cat_Farming,EmCommon,Cat_Farming,,,,MHFC_CameraPoint,,MHFC_CameraPoint,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50010,50010,精灵鹿,,2,4,,M001_ElfDear,EmCommon,M001_ElfDear,,0,,MHFC_CameraPoint,,MHFC_CameraPoint,FlyDragonCatchCamera,FlyDragonCatchCameraPoint,Run,,,0.2,,15,,,,,1,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50020,50020,雪山麋鹿,,2,0,,M002_MountainDear,EmCommon,M002_MountainDear,,0,,MHFC_CameraPoint,,MHFC_CameraPoint,FlyDragonCatchCamera,FlyDragonCatchCameraPoint,Run,,,0.2,,15,,,,,1,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50030,50030,猛犸象,,2,4,,M003,EmCommon,M003,,0,,MHFC_CameraPoint,,MHFC_CameraPoint,FlyDragonCatchCamera,FlyDragonCatchCameraPoint,Run,1,,3,,15,,0,1800,,1,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50040,50040,香菇猪,,2,0,,M004,EmCommon,M004,,0,,MHFC_CameraPoint,,MHFC_CameraPoint,FlyDragonCatchCamera,FlyDragonCatchCameraPoint,Run,,,0.15,,15,,,,,1,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50041,,新手香菇猪,,2,0,,M004_u01,EmCommon,M004_u01,,,,MHFC_CameraPoint,,MHFC_CameraPoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50042,,PVP香菇猪,,2,0,,M004,EmCommon,M004,,0,,MHFC_CameraPoint,,MHFC_CameraPoint,FlyDragonCatchCamera,FlyDragonCatchCameraPoint,Run,,,0.15,,15,,,,,1,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50050,50050,野猪,,2,1,,M005,EmCommon,M005,,0,,MHFC_CameraPoint,,MHFC_CameraPoint,FlyDragonCatchCamera,FlyDragonCatchCameraPoint,Run,,,1.3,,15,,,200,,1,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50051,,新手野猪,,2,0,,M005_u01,EmCommon,M005_u01,,,,MHFC_CameraPoint,,MHFC_CameraPoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50052,,特殊野猪,,2,1,,M005,EmCommon,M005,,0,,MHFC_CameraPoint,,MHFC_CameraPoint,FlyDragonCatchCamera,FlyDragonCatchCameraPoint,,,,0.3,,15,,,200,,1,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50053,,PVP野猪,,2,1,,M005,EmCommon,M005,,0,,MHFC_CameraPoint,,MHFC_CameraPoint,FlyDragonCatchCamera,FlyDragonCatchCameraPoint,Run,,,0.3,,15,,,200,,1,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50054,,武器教学野猪,,2,0,,M005_u02,EmCommon,M005_u02,,,,MHFC_CameraPoint,,MHFC_CameraPoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
50055,,降低猪车频率的小野猪,,2,1,,M005_u03,EmCommon,M005_u03,,0,,MHFC_CameraPoint,,MHFC_CameraPoint,FlyDragonCatchCamera,FlyDragonCatchCameraPoint,Run,,,1.3,,15,,,200,,1,,,,,,,,,,,,,,,,,,1,,,100,,120,100,0.1,1.15,1.2,1,240,80,3,1,,"0,0,0",0,,,,,,,,,,,
