MonsterID,PartID,StateID,BreakLevel,DefenceLevel,Faint,Cut,Hammer,Shoot,Fire,Water,Electric,Ice,Dragon
50001,Body,Normal,0,0,0,0.6,0.6,0.6,1,0.8,0.8,0.5,0.2
50010,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50010,Head,Normal,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3
50010,Neck,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50010,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50020,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50020,Head,Normal,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3
50020,Neck,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50020,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50030,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50030,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50030,Head,Normal,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50030,Leftbackleg,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50030,Leftleg,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50030,Rightbackleg,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50030,Rightleg,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50030,Tail,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50040,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50040,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50041,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50041,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50042,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50042,Body,Normal,0,0,0,0.8,0.8,0.8,0,0,0,0,0
50050,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50050,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50051,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50051,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50052,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50052,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50053,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50053,Body,Normal,0,0,0,0.8,0.8,0.8,0,0,0,0,0
50054,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50054,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50055,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50055,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50056,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50056,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50060,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50060,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50060,Head,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50060,Tail,Normal,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3
50069,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50069,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50069,Head,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50069,Tail,Normal,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3
50070,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50070,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50070,Head,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50070,Tail,Normal,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3
50080,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50080,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50080,Head,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50080,Tail,Normal,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3
50081,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50081,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50081,Head,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50081,Tail,Normal,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3
50090,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50090,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50090,Head,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
50090,Tail,Normal,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3
50100,Body,Normal,0,0,0,0.6,0.6,0.6,1,0.8,0.8,0.5,0.2
50110,Body,Normal,0,0,0,0.6,0.6,0.6,1,0.8,0.8,0.5,0.2
50111,Body,Normal,0,0,0,0.6,0.6,0.6,1,0.8,0.8,0.5,0.2
50120,WholeBody,Normal,0,0,0,1,1,1,1,1,1,1,1
50120,Body,Normal,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6
