MonsterID,PartID,PartName,StateID,Unbalance,UnbalanceMulti,Scar,Fall,FallMulti,WaterAcc,WaterAccMulti,FireAcc,FireAccMulti,ElectricAcc,ElectricAccMulti,DragonAcc,DragonAccMulti,IceAcc,IceAccMulti,NoneAcc,NoneAccMulti,DmgVal1,ProcessLv1,Hammer1,Cut1,Shoot1,Water1,Fire1,Electric1,Dragon1,Ice1,LootSkillLv1,DmgVal2,ProcessLv2,Hammer2,Cut2,Shoot2,Water2,Fire2,Electric2,Dragon2,Ice2,LootSkillLv2,DmgVal3,ProcessLv3,Hammer3,Cut3,Shoot3,Water3,Fire3,Electric3,Dragon3,Ice3,LootSkillLv3,DmgVal4,ProcessLv4,Hammer4,Cut4,Shoot4,Water4,Fire4,Electric4,Dragon4,Ice4,LootSkillLv4,DmgVal5,ProcessLv5,Hammer5,Cut5,Shoot5,Water5,Fire5,Electric5,Dragon5,LootSkillLv5,Ice5
50001,Body,身体,Normal,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50010,WholeBody,全身,Normal,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50010,Head,头部,Normal,0.2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50010,Neck,颈部（首）,Normal,0.2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50010,Body,躯干（本体/胴体）,Normal,0.2,1,2,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50020,WholeBody,全身,Normal,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50020,Head,头部,Normal,0.2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50020,Neck,颈部（首）,Normal,0.2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50020,Body,躯干（本体/胴体）,Normal,0.2,1,2,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50030,WholeBody,全身,Normal,,,2,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0
